postal_code,long,lat
36083,-85.68244044522719,32.38840765296012
35441,-87.73861499853676,32.85373389018896
35051,-86.61970779246364,33.20545521609826
35121,-86.45529675959189,33.9412310319727
35058,-86.73788211052226,34.23134206127078
35619,-87.14548998815678,34.387309291749624
35016,-86.50143428871255,34.32331638291291
36115,-86.24676356709969,32.40679357979841
36353,-85.36603575829228,31.482844881249015
36728,-87.47939877419985,32.16785008992303
35229,-86.78910438671278,33.465579658248714
36027,-85.2093465837657,31.933253062260647
35470,-88.10357481943466,32.556865658859195
35173,-86.56423696436815,33.65043844230968
35098,-87.04160871195677,34.1246945511235
71653,-91.25750558006834,33.34106610600516
20012,-77.03195006139526,38.97703734938109
04554,-69.50556916824458,43.865743118763945
60034,-88.41944977567344,42.456206301458984
21529,-78.76852139647873,39.706162088934846
02671,-70.11094609221229,41.67210269109847
04019,-70.09990178085793,43.69148805084295
49854,-86.33788556323117,46.125592238463774
04766,-68.23912292029247,46.881621932511244
39150,-90.98392033996943,31.99669086374336
02461,-71.2084774055395,42.31681564350388
72756,-93.98333029019176,36.321201958187316
72950,-93.88747164599668,34.783628700197696
71846,-94.12405003126194,33.9411296350082
49934,-88.43785803273288,47.17081180175328
28428,-77.90682091359149,34.038314144093626
39465,-89.18034577509016,31.34447064221308
65747,-93.5798047853871,36.60225124597471
64112,-94.59528946282471,39.035979820934294
39144,-90.8047232780315,31.830482704057435
03076,-71.32391313640981,42.73350376488901
15316,-80.25367707828852,39.72461222566488
19137,-75.07398635425135,39.99459683832533
29440,-79.32909896081533,33.37701087347815
11550,-73.62007400511243,40.701733264815765
78404,-97.39899164054009,27.768052551992973
05450,-72.79114348196732,44.900218713382415
24171,-80.2387568576081,36.67189521090817
23092,-76.50956300112676,37.59391094528121
24622,-81.79560942779686,37.20938844889616
44123,-81.5241947220367,41.60379027486307
73505,-98.47855662220101,34.57885589283688
25425,-77.78690070586168,39.29491065535133
35079,-86.7556041223742,33.94056809984844
08073,-74.86688002488634,40.00957706741806
10171,-73.97385832392595,40.755899349714795
10110,-73.98225637340892,40.75449855131128
12758,-74.74568456707208,41.945744850802114
10282,-74.01493992761206,40.716830544386674
14212,-78.82017773943073,42.894225230875875
11956,-72.46895296040175,40.9815411030059
14788,-78.38017496560042,42.06204685164183
10040,-73.93053189065438,40.85820643766142
11501,-73.6389025038988,40.7463434653412
14035,-78.84831170798238,42.490795419568784
13617,-75.14927572805978,44.579185785654424
13316,-75.74272949156826,43.4093631991172
34287,-82.24464791244209,27.05390165986053
33413,-80.15536648691256,26.663957306018577
32421,-85.18209180156373,30.529923045695917
30417,-81.92018117053233,32.17321806784856
30816,-82.1609304022535,33.15362827832632
30332,-84.40436928066399,33.77823299535213
30705,-84.74901357339121,34.75013199871146
31631,-82.59884642672397,30.71173722717198
31038,-83.64039149870848,33.14206648982096
30464,-82.22188278706756,32.43499369436801
31018,-82.62063984861948,32.97645982556712
30428,-82.71121263276335,32.219241725496644
61414,-90.15574891168791,41.12469536808751
13102,-76.29247811530135,42.55271416851585
27893,-77.90257249070751,35.692042529983894
27295,-80.315159584051,35.86837349072314
28504,-77.6353865556233,35.22490682335653
28787,-82.52323588324185,35.72595051680352
27825,-77.1744564725046,35.832811482558604
28611,-81.73525612163898,36.01099790669695
28089,-81.65975235445174,35.31817712468214
43084,-83.5408264207181,40.15682748932376
44493,-80.88863742206306,40.82502495272218
44233,-81.73512048991714,41.2394104572533
43203,-82.96897591173386,39.973103641560584
44671,-81.36565243763627,40.645947115831014
43330,-83.41938828574175,40.81355943789672
01236,-73.3766970685467,42.26657953467095
01003,-72.52479084779701,42.39191851346451
49861,-88.16957085846859,46.56847698563588
48625,-84.83134687116456,44.05400317645817
48233,-83.06166418865082,42.323696652524426
48091,-83.05798867058637,42.4681794899681
49948,-89.01742875793715,46.72143395160164
39140,-90.00270271190543,31.751753060098643
39759,-88.82645392908174,33.43661109282014
38920,-90.06537954288616,33.87636736971548
39170,-90.33718323602059,32.11368880191846
39069,-91.045941484493,31.686283625113198
38945,-90.17070656194879,33.60002789753034
39332,-89.00412070142451,32.30000325321105
64093,-93.7317020927104,38.79471635938643
06412,-72.48318942892425,41.40593731126779
06481,-72.70034547863614,41.533575999590276
19716,-75.75843798232447,39.68958969684556
34488,-81.93928188749831,29.221651113002746
34202,-82.39013144327133,27.406743082743677
62982,-88.35961066521308,37.42810875814682
47708,-87.57379484664561,37.97443692832525
51243,-95.90404749356007,43.44245688372145
30660,-82.95048397901174,33.78561670570962
41073,-84.47912622146391,39.10196220272615
70357,-90.18317921143205,29.28647754276841
71254,-91.25584839864997,32.79682665397393
42464,-87.3669986347423,37.181490455161956
41083,-84.9830847312789,38.670397285356195
40444,-84.58839284662484,37.67917837322264
41035,-84.65960313073067,38.70513523360552
40057,-85.04232420168518,38.38939781083229
41612,-82.72305844271214,37.35431332490511
40025,-85.64885909374868,38.29996772461387
40313,-83.42091812960709,38.130469147861554
41725,-83.03510026607125,37.33915565290395
40144,-86.37861083193843,37.745925353128946
71360,-92.35280301328199,31.32035038405582
71268,-92.7410169415069,32.34704341659244
70575,-92.1581140922017,29.948968819693587
